,Country,Region,Year,Status,PR rating,CL rating,PR,CL,Total,Gross enrollment ratio - Lower secondary level (female),Gross enrollment ratio - Lower secondary level (male),Gross enrollment ratio - Primary (female),Gross enrollment ratio - Primary (male),Gross enrollment ratio - Upper secondary level (female),Gross enrollment ratio - Upper secondary level (male),Students enrolled in lower secondary education (thousands),Students enrolled in primary education (thousands),Students enrolled in upper secondary education (thousands),"Seats held by women in national parliament, as of February (%)",Labour force participation - Female,Labour force participation - Male,Labour force participation - Total,Unemployment rate - Female,Unemployment rate - Male,Unemployment rate - Total,"Assault rate per 100,000 population","Intentional homicide rates per 100,000","Kidnapping at the national level, rate per 100,000","Percentage of male and female intentional homicide victims, Female","Percentage of male and female intentional homicide victims, Male","Theft at the national level, rate per 100,000 population","Total Sexual Violence at the national level, rate per 100,000","Safely managed drinking water sources, rural (Proportion of population with access)","Safely managed drinking water sources, total (Proportion of population with access)","Safely managed drinking water sources, urban (Proportion of population with access)","Safely managed sanitation facilities, rural (Proportion of population with access)","Safely managed sanitation facilities, total (Proportion of population with access)","Safely managed sanitation facilities, urban (Proportion of population with access)",GDP in constant 2015 prices (millions of US dollars),GDP in current prices (millions of US dollars),GDP per capita (US dollars),GDP real rates of growth (percent),Population aged 0 to 14 years old (percentage),Population aged 60+ years old (percentage),Population density,Population mid-year estimates (millions),Population mid-year estimates for females (millions),Population mid-year estimates for males (millions),Sex ratio (males per 100 females),Surface area (thousand km2),Percentage of individuals using the internet
1148,Yemen,Middle East,2013,NF,6,6,9,16,25,44.2,62.7,81.8,96.6,29.4,43.5,1066.0,3875.0,702.0,,,,,,,,,6.3,,,,,,,,,,,,,,,,,,,,,,,,
1102,Yemen,Middle East,2015,NF,6,6,9,16,25,,,,,,,,,,0.3,5.2,58.0,31.7,29.8,16.8,17.9,,,,,,,,,,,,17.4,61.4,24819.0,24819.0,870.0,-36.1,41.8,4.0,59.0,31.16,15.35,15.81,103.0,,24.1
931,Yemen,Middle East,2016,NF,7,6,4,13,17,47.6,63.2,78.4,89.2,31.7,44.9,1156.0,3900.0,760.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
847,Yemen,Middle East,2020,NF,7,6,1,10,11,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,19201.0,9417.0,292.0,1.2,,,,,,,,,13.8
676,Yemen,Middle East,2021,NF,7,6,1,10,11,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,19009.0,8971.0,272.0,-1.0,,,,,,,,,14.9
505,Yemen,Middle East,2022,NF,7,6,1,8,9,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,19.2,60.5,19294.0,11007.0,327.0,1.5,41.3,3.9,72.4,38.22,18.87,19.36,102.6,528.0,17.7
333,Yemen,Middle East,2023,NF,7,6,1,8,9,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,Yemen,Middle East,2024,NF,7,6,1,9,10,,,,,,,,,,0.0,5.1,60.3,32.7,29.6,16.4,17.4,,,,,,,,,,,,,,,,,,41.1,4.0,76.9,40.58,20.03,20.56,102.7,,
1103,Zambia,Africa,2015,PF,3,4,26,34,60,59.9,64.8,102.9,104.8,,,471.0,3216.0,,12.7,51.9,66.4,58.9,8.6,8.1,8.3,,5.2,,,,,,,,49.5,23.7,,,20862.0,20862.0,1284.0,2.9,45.2,2.9,22.1,16.4,8.3,8.1,97.6,,8.8
848,Zambia,Africa,2020,PF,4,4,22,32,54,58.0,56.7,96.0,93.6,,,515.0,3416.0,,16.8,,,,,,,,,,,,,,,,,,,,22991.0,18064.0,954.0,-2.8,,,,,,,,,24.5
677,Zambia,Africa,2021,PF,4,4,20,32,52,,,,,,,,,,16.8,,,,,,,,,,,,,,,,,,,,24048.0,22104.0,1135.0,4.6,,,,,,,,,27.0
506,Zambia,Africa,2022,PF,4,4,21,30,51,,,,,,,,,,15.1,,,,,,,,,,,,,,,,45.5,30.5,,,25727.0,29137.0,1456.0,7.0,42.4,3.2,27.1,20.15,10.18,9.97,98.0,753.0,31.2
334,Zambia,Africa,2023,PF,4,4,23,31,54,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,Zambia,Africa,2024,PF,4,4,23,31,54,,,,,,,,,,15.0,52.1,67.2,59.5,4.9,3.6,4.2,,,,,,,,,,,,,,,,,,41.5,3.3,28.7,21.32,10.76,10.55,98.0,,
1149,Zimbabwe,Africa,2013,NF,6,6,11,14,25,68.6,68.8,100.4,105.9,39.1,45.2,467.0,2663.0,491.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1104,Zimbabwe,Africa,2015,NF,5,6,12,16,28,,,98.8,104.3,,,,2658.0,,31.5,60.7,72.3,65.9,5.7,5.2,5.4,,,,,,,,14.0,27.3,54.9,31.5,32.0,33.1,19963.0,19963.0,1410.0,1.8,43.8,5.2,37.2,14.4,7.59,6.81,89.7,,22.7
849,Zimbabwe,Africa,2020,PF,5,5,12,17,29,,,,,,,,,,31.9,,,,,,,,,,,,,,,,,,,,19608.0,21665.0,1383.0,-5.3,,,,,,,,,29.3
678,Zimbabwe,Africa,2021,NF,6,5,11,17,28,,,,,,,,,,31.9,,,,,,,,,,,,,,,,,,,,20843.0,24118.0,1508.0,6.3,,,,,,,,,32.5
507,Zimbabwe,Africa,2022,NF,6,5,11,17,28,,,95.4,96.2,,,,2943.0,,30.6,,,,,,,,6.7,,2.3,11.5,,,12.6,26.5,55.5,30.4,31.8,34.7,21572.0,26419.0,1619.0,3.5,41.6,5.2,41.5,16.07,8.43,7.64,90.7,391.0,32.6
335,Zimbabwe,Africa,2023,NF,6,5,11,17,28,,,,,,,,,,30.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,Zimbabwe,Africa,2024,NF,6,5,10,17,27,,,,,,,,,,28.9,60.6,72.5,66.0,9.4,8.6,9.0,,,,,,,,,,,,,,,,,,40.9,5.0,43.0,16.63,8.71,7.93,91.1,,
